                          Area.peak KS.trans Combined
spec-6738-56424-0878.fits  0.978460 0.863153 0.844561
spec-4754-55649-0294.fits  0.973438 0.867521 0.844477
spec-6039-56099-0934.fits  0.844272 1.000000 0.844272
spec-4786-55651-0210.fits  0.844109 1.000000 0.844109
spec-6684-56412-0138.fits  0.844030 1.000000 0.844030
spec-6044-56090-0220.fits  0.843992 1.000000 0.843992
spec-3825-55533-0358.fits  0.843698 1.000000 0.843698
spec-5363-55956-0511.fits  0.999264 0.844228 0.843606
spec-4383-55881-0786.fits  0.985264 0.855874 0.843262
spec-5482-56017-0304.fits  0.842955 1.000000 0.842955
spec-6446-56363-0517.fits  1.000000 0.842772 0.842771
spec-4043-55630-0388.fits  0.842706 1.000000 0.842706
spec-4068-55445-0814.fits  0.928152 0.907556 0.842350
spec-6163-56219-0754.fits  0.957283 0.879895 0.842309
spec-5370-56003-0206.fits  0.842039 1.000000 0.842039
spec-5161-55968-0443.fits  0.952048 0.884263 0.841861
spec-6662-56364-0740.fits  0.887643 0.948319 0.841769
spec-5169-56045-0750.fits  0.841740 1.000000 0.841740
